date,latitude,longitude,tp
2021-02-28,22.0,70.0,-1.8626451e-09
2021-06-30,10.5,77.0,-1.8626451e-09
2022-10-19,19.75,84.25,-1.8626451e-09
2023-10-17,15.75,69.0,0.00019142032
2023-11-04,12.25,78.25,3.6008656e-05
2022-01-17,32.0,97.0,1.2628734e-06
2023-08-10,27.5,82.75,1.2628734e-06
2021-04-18,35.75,86.0,0.00016046502
2022-09-11,9.75,85.5,2.9059127e-05
2021-09-27,14.75,77.25,6.9476664e-06
2023-09-28,10.25,84.0,0.00036199577
2022-06-01,21.5,80.0,-1.8626451e-09
2022-09-08,30.25,77.75,-1.8626451e-09
2023-09-28,29.5,82.0,-1.8626451e-09
2021-03-19,35.25,87.25,-1.8626451e-09
2021-02-14,36.75,95.5,-1.8626451e-09
2023-06-16,23.0,81.0,-1.8626451e-09
2020-08-15,35.0,74.5,0.00082507357
2022-06-05,32.0,90.5,-1.8626451e-09
2021-04-18,30.25,82.25,0.000111820176
2022-09-16,21.0,82.5,-1.8626451e-09
2021-10-27,20.5,95.25,-1.8626451e-09
2020-04-01,33.25,87.5,-1.8626451e-09
2022-07-28,28.5,71.5,8.654967e-05
2022-07-12,34.75,77.0,5.0533563e-06
2024-07-25,21.5,85.25,0.00059890375
2023-02-24,12.75,69.0,6.314367e-07
2020-06-13,9.0,71.5,0.00013140403
2021-03-19,29.75,69.0,-1.8626451e-09
2020-10-30,11.0,69.25,6.314367e-07
2022-03-23,13.25,90.5,2.4637207e-05
2023-10-11,36.75,85.0,3.4745783e-05
2023-03-13,26.75,76.5,-1.8626451e-09
2021-06-22,31.75,69.75,-1.8626451e-09
2024-07-13,25.5,72.5,1.2002885e-05
2022-07-24,34.5,96.5,-1.8626451e-09
2022-05-14,23.25,76.25,-1.8626451e-09
2020-04-13,26.0,75.75,-1.8626451e-09
2020-09-16,15.75,91.75,6.886013e-05
2021-11-20,36.5,69.75,-1.8626451e-09
2022-06-11,33.5,70.0,-1.8626451e-09
2022-07-05,23.0,77.25,0.0028896537
2022-07-14,15.25,72.5,0.0003499929
2022-05-13,30.25,69.5,-1.8626451e-09
2022-07-04,35.5,72.75,-1.8626451e-09
2022-01-16,25.5,89.25,-1.8626451e-09
2022-03-04,22.5,82.0,-1.8626451e-09
2021-09-30,31.75,88.25,-1.8626451e-09
2020-11-13,21.25,92.5,-1.8626451e-09
2020-08-23,19.75,83.5,-1.8626451e-09
2020-07-11,36.25,76.0,2.5257468e-06
2021-06-11,34.0,82.25,-1.8626451e-09
2020-06-16,25.75,93.5,-1.8626451e-09
2022-02-01,18.75,73.5,-1.8626451e-09
2023-11-02,15.75,78.75,1.2628734e-06
2023-10-22,32.0,83.0,-1.8626451e-09
2021-02-01,20.75,82.0,-1.8626451e-09
2024-08-01,12.25,84.75,0.0003000833
2020-08-15,25.75,82.75,0.00015225261
2021-03-25,31.5,76.0,-1.8626451e-09
2023-09-23,11.25,96.0,0.0009994376
2024-03-31,10.25,75.0,0.00018762983
2022-02-27,16.5,87.0,-1.8626451e-09
2023-08-07,12.25,79.0,-1.8626451e-09
2023-01-18,9.75,86.25,-1.8626451e-09
2022-09-27,20.5,76.75,-1.8626451e-09
2022-12-28,27.5,79.5,-1.8626451e-09
2024-06-24,12.5,83.0,0.0009830128
2021-07-23,26.0,69.0,-1.8626451e-09
2022-07-12,14.75,74.0,0.0012344513
2023-06-01,36.5,81.0,-1.8626451e-09
2020-07-24,13.0,83.5,0.0016937386
2020-10-27,21.25,69.5,-1.8626451e-09
2022-05-31,11.25,71.5,0.00013077259
2022-06-06,18.5,85.25,6.9476664e-06
2022-06-30,20.0,90.75,6.696582e-05
2021-10-06,21.25,89.75,2.590008e-05
2022-06-27,21.75,96.0,-1.8626451e-09
2022-11-24,25.5,96.25,-1.8626451e-09
2021-04-05,18.5,71.25,-1.8626451e-09
2023-04-13,17.25,71.5,-1.8626451e-09
2023-02-16,26.0,68.75,-1.8626451e-09
